date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,lag1,lag2,lag3,lag4,lag5,return,return1,return2,return3,return4,return5,EWMA_5,Rate of Change,CCI,ForceIndex
2013-12-23,2283.8,2295.765,2284.602,2259.575,45580284.0,6.466,0.28,2321.75,2365.941,2402.392,49475854.4,54862642.8,66665976.8,2278.136,2332.41,2357.226,2356.376,2367.923,0.283828533503,-2.32694937854,-1.05276286618,0.0360723415957,-0.487642545809,-1.6087165545,2317.8485045,-0.0351873772923,-87.4988112234,-3797794843.16
2013-12-24,2291.125,2312.832,2288.248,2270.245,45599168.0,3.646,0.16,2308.124,2349.434,2397.434,48898909.6,52728417.2,65986642.0,2284.602,2278.136,2332.41,2357.226,2356.376,0.159590160562,0.283828533503,-2.32694937854,-1.05276286618,0.0360723415957,-0.487642545809,2307.98166927,-0.0289121939792,-45.7397374618,-3106580117.5
2013-12-25,2291.748,2305.609,2305.11,2281.6,44005328.0,16.862,0.74,2297.701,2338.669,2391.965,49696933.6,50321435.6,64422204.0,2288.248,2284.602,2278.136,2332.41,2357.226,0.736895651171,0.159590160562,0.283828533503,-2.32694937854,-1.05276286618,0.0360723415957,2307.02444616,-0.0221090383357,-12.7720288013,-2293381674.05
2013-12-26,2299.972,2301.493,2265.334,2263.922,51497564.0,-39.776,-1.73,2284.286,2324.2,2383.256,50377310.4,50456420.0,62464061.8,2305.11,2288.248,2284.602,2278.136,2332.41,-1.72555756558,0.736895651171,0.159590160562,0.283828533503,-2.32694937854,-1.05276286618,2293.12763052,-0.0287582371881,-79.3102859802,-3454250602.86
2013-12-27,2268.535,2315.182,2303.478,2264.386,53389156.0,38.144,1.68,2289.354,2313.884,2376.482,48014300.0,50645216.0,62043332.4,2265.334,2305.11,2288.248,2284.602,2278.136,1.68381351271,-1.72555756558,0.736895651171,0.159590160562,0.283828533503,-2.32694937854,2296.57775372,0.011124006644,48.4417830635,1352987991.35
2013-12-30,2313.38,2316.621,2299.458,2295.641,48414308.0,-4.02,-0.17,2292.326,2307.038,2370.516,48581104.8,49028479.6,58481291.8,2303.478,2265.334,2305.11,2288.248,2284.602,-0.174518706061,1.68381351271,-1.72555756558,0.736895651171,0.159590160562,0.283828533503,2297.53783582,0.00650266435904,74.8448596284,719242959.648
2013-12-31,2289.01,2333.074,2330.026,2287.117,56631072.0,30.568,1.33,2300.681,2304.403,2364.878,50787485.6,49843197.6,57590057.8,2299.458,2303.478,2265.334,2305.11,2288.248,1.32935674407,-0.174518706061,1.68381351271,-1.72555756558,0.736895651171,0.159590160562,2308.36722394,0.01825763641,86.5931569022,2365932926.02
2014-01-02,2323.433,2325.991,2321.978,2310.653,45194292.0,-8.048,-0.34,2304.055,2300.878,2357.22,51025278.4,50361106.0,54717260.8,2330.026,2299.458,2303.478,2265.334,2305.11,-0.34540387103,1.32935674407,-0.174518706061,1.68381351271,-1.72555756558,0.736895651171,2312.90414931,0.00731765512275,65.9623380734,762337317.456
2014-01-03,2311.968,2314.836,2290.779,2280.887,59782644.0,-31.199,-1.34,2309.144,2296.715,2348.349,52682294.4,51529802.4,53820946.6,2321.978,2330.026,2299.458,2303.478,2265.334,-1.34363891475,-0.34540387103,1.32935674407,-0.174518706061,1.68381351271,-1.72555756558,2305.52909952,0.0112323392489,-59.7847763989,1521169376.58
2014-01-06,2286.371,2286.371,2238.637,2229.334,66300404.0,-52.142,-2.28,2296.176,2292.765,2337.667,55264544.0,51639422.0,53830262.4,2290.779,2321.978,2330.026,2299.458,2303.478,-2.27616893642,-1.34363891475,-0.34540387103,1.32935674407,-0.174518706061,1.68381351271,2283.23173298,-0.0281491726858,-111.524646466,-4298984495.76
2014-01-07,2222.306,2246.791,2238.001,2218.647,43753104.0,-0.636,-0.03,2283.884,2288.105,2327.023,54332303.2,51456704.0,53159673.4,2238.637,2290.779,2321.978,2330.026,2299.458,-0.0284101442083,-2.27616893642,-1.34363891475,-0.34540387103,1.32935674407,-0.174518706061,2268.15482197,-0.0267267329953,-84.60564997,-2688934512.53
2014-01-08,2240.635,2262.584,2241.911,2228.418,51348856.0,3.91,0.17,2266.261,2283.471,2316.453,53275860.0,52031672.8,52380045.0,2238.001,2238.637,2290.779,2321.978,2330.026,0.174709484044,-0.0284101442083,-2.27616893642,-1.34363891475,-0.34540387103,1.32935674407,2259.40688131,-0.0378171745723,-45.048651926,-4524604446.44
2014-01-09,2236.967,2258.894,2222.221,2220.802,55987040.0,-19.69,-0.88,2246.31,2275.182,2306.925,55434409.6,53229844.0,51775639.8,2241.911,2238.001,2238.637,2290.779,2321.978,-0.878268584257,0.174709484044,-0.0284101442083,-2.27616893642,-1.34363891475,-0.34540387103,2247.01158753,-0.0429620780214,-47.1328564687,-5585099149.28
2014-01-10,2216.521,2224.494,2204.851,2200.215,54169292.0,-17.37,-0.78,2229.124,2269.134,2296.667,54311739.2,53497016.8,51976718.4,2222.221,2241.911,2238.001,2238.637,2290.779,-0.781650429908,-0.878268584257,0.174709484044,-0.0284101442083,-2.27616893642,-1.34363891475,2232.95805835,-0.0375103840222,-105.731130428,-4654658922.98
2014-01-13,2206.996,2222.072,2193.679,2183.597,50122772.0,-11.172,-0.51,2220.133,2258.154,2286.019,51076212.8,53170378.4,51907797.2,2204.851,2222.221,2241.911,2238.001,2238.637,-0.50670090632,-0.781650429908,-0.878268584257,0.174709484044,-0.0284101442083,-2.27616893642,2219.8650389,-0.0200827557125,-87.7838967788,-2253419583.58
2014-01-14,2192.844,2214.124,2212.846,2179.908,54049948.0,19.167,0.87,2215.102,2249.493,2278.265,53135581.6,53733942.4,51381211.0,2193.679,2204.851,2222.221,2241.911,2238.001,0.873737679943,-0.50670090632,-0.781650429908,-0.878268584257,0.174709484044,-0.0284101442083,2217.52535926,-0.0112399413584,-52.6266506833,-1359626441.94
2014-01-15,2210.024,2215.903,2208.941,2193.802,48962396.0,-3.905,-0.18,2208.508,2237.384,2270.894,52658289.6,52967074.8,51405136.2,2212.846,2193.679,2204.851,2222.221,2241.911,-0.176469578091,0.873737679943,-0.50670090632,-0.781650429908,-0.878268584257,0.174709484044,2214.66390618,-0.0147062037699,-20.4607727103,-1614290196.12
2014-01-16,2209.448,2227.262,2211.844,2201.56,52298904.0,2.903,0.13,2206.432,2226.371,2263.624,51920662.4,53677536.0,52019321.0,2208.941,2212.846,2193.679,2204.851,2222.221,0.131420440836,-0.176469578091,0.873737679943,-0.50670090632,-0.781650429908,-0.878268584257,2213.72393745,-0.00466965256831,86.4656306592,-542705726.808
2014-01-17,2203.821,2205.972,2178.488,2175.876,50273156.0,-33.356,-1.51,2201.16,2215.142,2255.928,51141435.2,52726587.2,52128194.8,2211.844,2208.941,2212.846,2193.679,2204.851,-1.50806295562,0.131420440836,-0.176469578091,0.873737679943,-0.50670090632,-0.781650429908,2201.97862497,-0.0119568170366,-101.222086463,-1325351211.63
2014-01-20,2173.651,2182.463,2165.993,2156.458,40560152.0,-12.495,-0.57,2195.622,2207.878,2250.321,49228911.2,50152562.0,50895992.0,2178.488,2211.844,2208.941,2212.846,2193.679,-0.573562948247,-1.50806295562,0.131420440836,-0.176469578091,0.873737679943,-0.50670090632,2189.98341664,-0.0126208073287,-100.207796356,-1122948368.27
2014-01-21,2168.42,2197.923,2187.41,2168.42,40306248.0,21.417,0.99,2190.535,2202.818,2245.462,46480171.2,49807876.4,50632290.2,2165.993,2178.488,2211.844,2208.941,2212.846,0.988784358952,-0.573562948247,-1.50806295562,0.131420440836,-0.176469578091,0.873737679943,2189.1256111,-0.011494699586,-26.9006749748,-1025229724.13
2014-01-22,2190.432,2244.133,2243.796,2187.534,70641376.0,56.386,2.58,2197.506,2203.007,2243.239,50815967.2,51737128.4,51884400.6,2187.41,2165.993,2178.488,2211.844,2208.941,2.57775177036,0.988784358952,-0.573562948247,-1.50806295562,0.131420440836,-0.176469578091,2207.34907406,0.015779054307,84.9651021117,2462205160.48
2014-01-23,2242.245,2248.924,2231.889,2228.057,56345952.0,-11.907,-0.53,2201.515,2203.974,2239.578,51625376.8,51773019.6,52501431.8,2243.796,2187.41,2165.993,2178.488,2211.844,-0.530663215373,2.57775177036,0.988784358952,-0.573562948247,-1.50806295562,0.131420440836,2215.52904938,0.00906257403325,82.8832571111,1129454607.84
2014-01-24,2225.758,2257.355,2245.678,2222.893,61167672.0,13.789,0.62,2214.953,2208.056,2238.595,53804280.0,52472857.6,52984937.2,2231.889,2243.796,2187.41,2165.993,2178.488,0.617817463144,-0.530663215373,2.57775177036,0.988784358952,-0.573562948247,-1.50806295562,2225.57869958,0.0308424925912,62.3075694751,4109855881.68
2014-01-27,2233.015,2233.231,2215.919,2211.799,70344248.0,-29.759,-1.32,2224.938,2210.28,2234.217,59761099.2,54495005.2,53832691.8,2245.678,2231.889,2243.796,2187.41,2165.993,-1.32516772218,0.617817463144,-0.530663215373,2.57775177036,0.988784358952,-0.573562948247,2222.35879972,0.0230499359878,-4.00281264626,3512006925.65
2014-01-28,2220.785,2233.257,2219.855,2205.972,53269128.0,3.936,0.18,2231.427,2210.981,2230.237,62353675.2,54416923.2,54075432.8,2215.919,2245.678,2231.889,2243.796,2187.41,0.177623821087,-1.32516772218,0.617817463144,-0.530663215373,2.57775177036,0.988784358952,2221.52419982,0.014832610256,-60.1089958173,1728316857.96
